Castaway	Job	URL	Episode title	Book	Luxury	Favourite track	Presenter	Date first broadcast	Time first broadcast	Artist 1	Song 1	Artist 2	Song 2	Artist 3	Song 3	Artist 4	Song 4	Artist 5	Song 5	Artist 6	Song 6	Artist 7	Song 7	Artist 8	Song 8
Miriam Margolyes		https://www.bbc.co.uk/programmes/b00dm5mm	Miriam Margolyes	Little Dorrit by Charles Dickens	A flush toilet	The opening of the Fourth movement of the Trout Quintet by Franz Schubert	Kirsty Young	2008-09-28	11:15	Dylan Thomas	A Visit to Grandpa's	Hubert Parry	Jerusalem	Wolfgang Amadeus Mozart	Der Hölle Rache (from The Magic Flute)	Charles Dickens	Extract from Great Expectations	Richmal Crompton	Violet Elizabeth takes Control	Richard Tucker	Kol Nidrei	Noël Coward	Private Lives	Franz Schubert	Piano Quintet in A major 'Trout' - 4th Movement
Ruthie Henshall		https://www.bbc.co.uk/programmes/b00czqsp	Ruthie Henshall	The Selfish Giant by Oscar Wilde	A jar of Hellman's mayonnaise	Over the Rainbow by Eva Cassidy	Kirsty Young	2008-08-17	11:15	Eva Cassidy	Over the Rainbow	Barbra Streisand	Children Will Listen (from Sondheim's Into the Woods)	Bob Gaudio	For Good	Ann Christine Lofgren	The Lord's Prayer	Leona Lewis	Footprints in the Sand	Van Tramp	Something	Kate Bush	This Woman's Work	Faith Hill	There Will Come a Day
AC Grayling		https://www.bbc.co.uk/programmes/b00cx1ds	AC Grayling	The Man Without Qualities by Robert Musil	A good piano	The adagio from the Violin Concerto in D Major by Johannes Brahms	Kirsty Young	2008-08-10	11:15	Johannes Brahms	Violin Concerto in D major - 2nd movement	Robert Schumann	Träumerei (from Scenes from Childhood)	The Kinks	Days	Ludwig van Beethoven	Symphony No.4 in B flat major - 2nd movement	The Choir of Magdalen College, Oxford	Nunc Dimittis	Camille Saint‐Saëns	Cello Concerto No. 1 in A minor - 1st movement	Frédéric Chopin	Nocturne in E flat Major	Giacomo Puccini	Un bel di vedremo (One fine day) (from Madama Butterfly)
Richard Ingrams		https://www.bbc.co.uk/programmes/b00ct21r	Richard Ingrams	Teach yourself piano tuning	Grand piano	The Gloria from Mass in B Minor by Johann Sebastian Bach	Kirsty Young	2008-08-03	11:15	Sergey Rachmaninov	Cello Sonata in G minor - 3rd movement	Ludwig van Beethoven	Violin Sonata No. 1 in D major, Op. 12/1 - 2nd movement	Fats Waller	Handful of Keys	William Walton	March (from the Battle of Britain)	Peter Cook & Dudley Moore	Goodbyee	Wolfgang Amadeus Mozart	String Quintet No. 4 in G minor - 3rd movement	Johann Sebastian Bach	Mass in B minor - Gloria in excelsis	Robert Schumann	Am leuchtenden Sommermorgen (from Dichterliebe)
Antonia Fraser		https://www.bbc.co.uk/programmes/b00cq31h	Antonia Fraser	The complete works by Walter Scott	Strings and strings of false pearls	3rd Movement of Piano Concerto No. 23 by Wolfgang Amadeus Mozart	Kirsty Young	2008-07-27	11:15	Wolfgang Amadeus Mozart	Dove sono (from The Marriage of Figaro)	The Choir of Magdalen College, Oxford	The Bells of Magdalen College, Oxford	Richard Wagner	Winterstürme wichen dem Wonnemond (from Die Walküre)	William Byrd	Sanctus	Christoph Willibald Gluck	Che farò senza Euridice (What is Life?) (from Orpheus and Euridice)	Joseph Haydn	Symphony No. 85 in B flat major 'La reine' - 1st movement	Ludwig van Beethoven	String Quartet No. 15 in A minor, Op. 132 - 3rd movement	Wolfgang Amadeus Mozart	Piano Concerto No. 23 in A major - 3rd movement
John Stefanidis		https://www.bbc.co.uk/programmes/b00clxst	John Stefanidis	Odyssey by Homer	Sketch book with lots of pencils	Vissi d'Arte from Tosca by Giacomo Puccini	Kirsty Young	2008-07-20	11:15	Giuseppe Verdi	Dies irae (from Requiem Mass)	Umm Kulthum	El Ahaat	Giacomo Puccini	Vissi d'arte (from Tosca)	Ornella Vanoni	Senza Fine	Richard Strauss	Ariadne auf Naxos Introduction	Franz Schubert	An die Musik (To Music), D547	Johannes Brahms	Symphony No. 3 in F	César Franck	Violin Sonata in A major
Felicity Lott		https://www.bbc.co.uk/programmes/b00chbtj	Felicity Lott	Les Miserables by Victor Hugo	Lots of champagne and pistachio nuts	Moonlight Music - the prelude to the final scene of Capriccio by Richard Strauss	Kirsty Young	2008-07-13	11:15	Wolfgang Amadeus Mozart	Sinfonia Concertante in E flat major	The Choir of St George’s Chapel, Windsor	I Was Glad	Tony Bennett	A Time for Love	Johannes Brahms	Abendlied, Op. 92/3	Benjamin Britten	A Midsummer Night's Dream Act 3 (finale) (Glyndebourne 1981)	Jacques Offenbach	Entrance of King Menelaus (from La Belle Hélène)	Franz Schubert	Fantasia in F minor, D940	Richard Strauss	Intermezzo (Moonlight music) (from Capriccio)
Antonio Carluccio		https://www.bbc.co.uk/programmes/b00cd5vz	Antonio Carluccio	His Dark Materials trilogy by Philip Pullman	White truffles	The Finale to The Carnival of the Animals by Camille Saint-Saëns	Kirsty Young	2008-07-06	11:15	Luis Bacalov	The theme from the film Il Postino	Bedrich Smetana	Vltava (The Moldau) (from Má vlast)	Pyotr Ilyich Tchaikovsky	Piano Concerto No. 1 in B flat minor - 1st movement	Paul Hörbiger	Es steht ein alter Nussbaum - There Stands an Old Nut Tree	Gioachino Rossini	The Thieving Magpie Overture	The Beatles	Yesterday	Sergey Prokofiev	Dance of the Knights (from Romeo and Juliet)	Camille Saint‐Saëns	Finale (from Carnival of the Animals)
Posy Simmonds		https://www.bbc.co.uk/programmes/b00c7kkr	Posy Simmonds	Four volumes of the London Telephone Directory	The Crown Jewels	The opening of the prelude from Cello Suite No 1 in G Major by Johann Sebastian Bach	Kirsty Young	2008-06-29	11:15	Joseph Haydn	The Adagio from Haydn's Piano Sonata in E Minor	Cookham Church Choir	In Dulci Jubilo	Georges Brassens	Marinette	Elvis Presley	Don't Be Cruel	Johann Sebastian Bach	Cantata No. 197a: Ehre sei Gott in der Höhe	Wolfgang Amadeus Mozart	Dove sono (from The Marriage of Figaro)	Mark O’Connor	God's Dear Son	Johann Sebastian Bach	Suite for Solo Cello No. 1 in G major - Prelude
Ara Darzi		https://www.bbc.co.uk/programmes/b00c4jq3	Ara Darzi	Yes, Minister by Jonathan Lynn	Pencil and paper	Seven Seconds by Youssou N’Dour and Neneh Cherry	Kirsty Young	2008-06-22	11:15	Vahan Petelian	Yekeghetsin Haikakan	Mike Oldfield	Tubular Bells	The Dubliners	Finnegan's Wake	Peter Gabriel & Kate Bush	Don't Give Up	Pink Floyd	Another Brick In The Wall, Part 2	Youssou Ndour & Neneh Cherry	7 Seconds	Hubert Parry	Jerusalem (from the soundtrack to Chariots of Fire)	Supertramp	The Logical Song
