Castaway	Job	URL	Episode title	Book	Luxury	Favourite track	Presenter	Date first broadcast	Time first broadcast	Artist 1	Song 1	Artist 2	Song 2	Artist 3	Song 3	Artist 4	Song 4	Artist 5	Song 5	Artist 6	Song 6	Artist 7	Song 7	Artist 8	Song 8
Buddy Rich		https://www.bbc.co.uk/programmes/p009mv5q	Buddy Rich	The Story of O by Pauline Reage	Ferrari	The Girl On The Rock by Ralph Brewster Singers	Roy Plomley	1981-05-09	18:15	Ray Noble and His Orchestra	Tiger Rag	Tony Bennett	The Good Life	Ella Fitzgerald	Willow, Weep For Me	George Gershwin	I Loves You Porgy	Frank Sinatra	In The Wee Small Hours Of The Morning	Benny Goodman	Misson To Moscow	Ralph Brewster Singers	The Girl On The Rock	Count Basie and His Orchestra	The Kid From Red Bank
Sir Frederick Ashton		https://www.bbc.co.uk/programmes/p009mv6f	Sir Frederick Ashton	A La Recherche Du Temps Perdu by Marcel Proust	Cards	Piano Concerto No. 21 in C by Wolfgang Amadeus Mozart	Roy Plomley	1981-05-02	18:15	Franz Liszt	Valse oubliée No. 1	César Franck	Symphonic Variations	Erik Satie	Trois Gymnopédies	Franz Schubert	String Quintet in C major	Édith Piaf	La Vie En Rose	Francis Poulenc	Les Biches Ballet Suite	Edward Elgar	"Variations on an Original Theme, Op. 36: Variation IX ""Nimrod"""	Wolfgang Amadeus Mozart	Piano Concerto No. 21 in C major
Stewart Granger		https://www.bbc.co.uk/programmes/p009mv75	Stewart Granger	Collected works by Ernest Hemingway	Gold statuette of Sir Winston Churchill	Piano Concerto No. 5 In E Flat Major by Ludwig van Beethoven	Roy Plomley	1981-04-25	18:15	Peter Ilyich Tchaikovsky	Piano Concerto No. 1 in B Flat Minor	Фёдор Шаляпин	Glory To Thee Oh Lord (from Twofold Litany)	Leo Litwin	Cornish Rhapsody	Nicolò Paganini	Violin Concerto No 1 in D	The Beatles	Yesterday	Ludwig van Beethoven	Piano Concerto No. 5 in E flat major 'Emperor'		Les Trois Cloches	Frank Sinatra	My Way
Princess Grace of Monaco		https://www.bbc.co.uk/programmes/p009mv7w	Princess Grace of Monaco	Plays by George Kelly	Pillow	Berceuse In D Flat by Frédéric Chopin	Roy Plomley	1981-04-18	18:15	Fred Astaire	You're Easy To Dance With	Frank Sinatra	You Make Me Feel So Young	Don McLean	On The Amazon	Frédéric Chopin	Berceuse in D flat major Op.57	William Shakespeare	The proud horse (from Venus and Adonis)	Johann Sebastian Bach	Viola da Gamba Sonata No. 1 in G major, BWV 1027	Joseph Haydn	Symphony No. 101 in D major 'Clock'	Aram Khachaturian	Sabre Dance (from Gayaneh)
Sir Fitzroy MacLean		https://www.bbc.co.uk/programmes/p009mv8d	Sir Fitzroy MacLean	War and Peace by Leo Tolstoy	Writing materials	Piano Concerto No. 5 In E Flat Major by Ludwig van Beethoven	Roy Plomley	1981-04-11	18:15	The Pipes and Drums of the Black Watch	The Barren Rocks Of Aden	Peter Ilyich Tchaikovsky	Swan Lake	Scott Russell	As Time Goes By	Lale Andersen	Lilli Marlene	Joseph Haydn	Trumpet Concerto in E flat major	Wolfgang Amadeus Mozart	Voi che sapete (from The Marriage of Figaro)	Archie Mactaggart & Carmeron MacKichan	The Road To The Isles	Ludwig van Beethoven	Piano Concerto No. 5 in E flat major 'Emperor'
Gary Glitter		https://www.bbc.co.uk/programmes/p00f9p83	Gary Glitter	Times Concise Atlas	Elastoplast	All Shook Up by Elvis Presley	Roy Plomley	1981-04-04	18:15	Glenn Miller	In The Mood	John Lennon & Yoko Ono	(Just Like) Starting Over	Ray Charles	Busted	Ludwig van Beethoven	Violin Concerto in D Major	Marlene Dietrich	Falling In Love Again	Kenneth Horne, Kenneth Williams, Hugh Paddick	Bona Artists		Elvis Presley - All Shook Up	Gary Glitter	Rock and Roll, I Gave You The Best Years Of My Life
Patricia Ruanne		https://www.bbc.co.uk/programmes/p009mv92	Patricia Ruanne	The Lord of the Rings by J R R Tolkien	Sunglasses	Romeo and Juliet Ballet Suite by Sergei Prokofiev	Roy Plomley	1981-03-28	18:15	Igor Stravinsky	The Rite Of Spring		Liebestod (from Tristan und Isolde)	Carl Nielsen	Symphony No. 5	Giacomo Puccini	Che gelida manina (Your tiny hand is frozen) (from La Bohème)	Dmitri Kabalevsky	Piano Concerto No. 3 in D	Camille Saint‐Saëns	Symphony No. 3 in C minor 'Organ'	Max Bruch	Violin Concerto No. 1 in G Minor	Sergey Prokofiev	Romeo and Juliet
Russell Harty		https://www.bbc.co.uk/programmes/p009mv9m	Russell Harty	A History of Craven by E T Whittaker	Flagpole and Union Jack	In The Bleak Midwinter by King's College Chapel Choir	Roy Plomley	1981-03-21	18:15	William Walton	Overture (from Henry V Suite)	George Formby	When I'm Cleaning Windows	Hector Berlioz	Villanelle (from Les nuits d'été)	King's College Chapel Choir	In The Bleak Midwinter	Sergey Prokofiev	Dance with Mandolins (from Romeo and Juliet)	Paul Phoenix	My Way	Violet Loraine & George Robey	If You Were The Only Girl In The World	Cambridge University Musical Society	The National Anthem
Peter Nichols		https://www.bbc.co.uk/programmes/p009mvbc	Peter Nichols	Collected essays by George Orwell	Vibraphone	He Trusted In God by George Frideric Handel	Roy Plomley	1981-03-14	18:15	The Benny Goodman Quartet	I'm A Ding Dong Daddy From Dumas	Elaine Stritch	Why Do The Wrong People Travel	Wolfgang Amadeus Mozart	Horn Concerto No. 3 in E Flat Major	Barry Humphries	At Least You Can Say You Have Seen It	Fats Waller	Carolina Shout	Denis Quilley	The Latin American Way	George Frideric Handel	He trusted In God (from Messiah)	Duke Ellington and His Orchestra	Solitude
Daniel Massey		https://www.bbc.co.uk/programmes/p009mvbs	Daniel Massey	Ego by James Agate	Wine	Violin Concerto in D by Ludwig van Beethoven	Roy Plomley	1981-03-07	18:15	Peter Ilyich Tchaikovsky	Symphony No. 2 in C minor 'Little Russian'	Maurice Ravel	Piano Concerto in G major	Franz Schubert	Symphony No. 9 in C major 'Great'	Jean Sibelius	Death of Melisande (from Pelleas and Melisande)	Erroll Garner	Red Top	Wolfgang Amadeus Mozart	Soave sia il vento (from Cosi fan tutte)	Frank Sinatra	Come Rain Or Come Shine	Ludwig van Beethoven	Violin Concerto in D major
Carla Lane		https://www.bbc.co.uk/programmes/p009mvcg	Carla Lane	Dictionary of quotations	French Shampoo	Violin Concerto in D by Pyotr Ilyich Tchaikovsky	Roy Plomley	1981-02-28	18:15	Dmitry Shostakovich	Symphony No. 5 In D Minor	Pink Floyd	Shine On You Crazy Diamond	Peter Ilyich Tchaikovsky	Violin Concerto in D major	Antonio Vivaldi	The Four Seasons - Summer	Tomaso Albinoni & Remo Giazotto	Adagio in G Minor for Organ & Strings	Gaetano Donizetti	Oh! la belle campagne (from Gianni di Parigi)	Hector Berlioz	Symphonie Fantastique	Ambrose and His Orchestra	Red Sails In The Sunset
Frederic Raphael		https://www.bbc.co.uk/programmes/p009mvd4	Frederic Raphael	Bilingual edition of poetry by Giorgos Seferis	Painting Materials	Cello Concerto in B Minor by Antonin Dvořák	Roy Plomley	1981-02-21	18:15	Ludwig van Beethoven	Violin Concerto in D major	Édith Piaf	Milord	Joseph Haydn	String Quartet in F major, Op. 77/2	Antonio Vivaldi	Lute Concerto in D major	Claudio Monteverdi	Vespers 1610	Johann Sebastian Bach	Concerto for Violin, Oboe, and Strings in D minor, BWV 1060	Maria Farandouri & Georg Kapernaros	Boat On The Beach	Antonín Dvořák	Cello Concerto in B Minor
David Broome		https://www.bbc.co.uk/programmes/p009mvdp	David Broome	Collected Speeches by Sir Winston Churchill	Wine	Hymns and Arias by Max Boyce	Roy Plomley	1981-02-14	18:15	The Royal Scots Dragoon Guards	Amazing Grace	Frank Sinatra	My Way	Johann Strauss II	The Blue Danube		Wooden Heart	Maurice Jarre	Somewhere My Love (Lara's Theme)	Max Boyce	Hymns and Arias	Harry Secombe	You'll Never Walk Alone	Russ Hamilton	We Will Make Love
Mary O'Hara		https://www.bbc.co.uk/programmes/p009mvfk	Mary O'Hara	The Lord of the Rings by J R R Tolkien	Tennis practice equipment	Double Concerto in D Minor by Johann Sebastian Bach	Roy Plomley	1981-02-07	18:15	RTÉ National Symphony Orchestra	Caithreim	Joan Baez	All My Trials	Henry Purcell	Sound the trumpet (from Birthday Ode 'Come ye sons of art away')	Carl Orff	In trutina (from Carmina Burana)	Johann Sebastian Bach	Concerto for Two Violins in D minor	Dan Hill	Sometimes When We Touch	George Frideric Handel	Harp Concerto in B flat major, Op. 4/6	Gustav Mahler	Der Abschied  (from Das Lied von der Erde)
Jeffrey Archer		https://www.bbc.co.uk/programmes/p009mvfz	Jeffrey Archer	Reunion by Fred Uhlman	Plasticine model of Roy Plomley and a pin	Help! by The Beatles	Roy Plomley	1981-01-31	18:15	The Beatles	Help!	Bing Crosby & Louis Armstrong	Brother Bill	Ludwig van Beethoven	Symphony No. 9 in D minor 'Choral'	Noël Coward	A Bar On The Piccola Marina	Elton John	Candle In The Wind	National Theatre Plays	Incidental Music To Much Ado About Nothing	Mac Davis	It's Hard To Be Humble	King's College Chapel Choir	Hosanna To The Son Of David
Joan Plowright		https://www.bbc.co.uk/programmes/p009mvgt	Joan Plowright	Three novels by Aldous Huxley	Piano	Symphony No. 6 In F Major by Ludwig van Beethoven	Roy Plomley	1981-01-24	18:15	Jean Sibelius	The Swan Of Tuonela	Ludwig van Beethoven	Symphony No. 6 in F major 'Pastoral'	William Walton	Popular Song (from Façade)	Peter Sellers	The House That Mac Built	Sir Laurence Olivier	Why Should I Care	Johnny Green and His Orchestra	I Feel Pretty	Simon & Garfunkel	The Sound Of Silence	Georges Bizet	Bohemian Dance (from Carmen Suite No. 2)
HRH Princess Margaret		https://www.bbc.co.uk/programmes/p009mvhf	HRH Princess Margaret	War and Peace by Leo Tolstoy	Piano	Swan Lake by Pyotr Ilyich Tchaikovsky	Roy Plomley	1981-01-17	18:15	Band of HM Royal Marines	King Cotton	The Pipes & Drums, 1st.Battalion Royal Highland Fusiliers	Scotland The Brave	Tennessee Ernie Ford	Sixteen Tons	Johannes Brahms	Symphony No. 2 in D Major	Elizabeth Bainbridge	Rule Britannia	Peter Ilyich Tchaikovsky	Swan Lake	Carl Ravazza	Rock, Rock, Rock	Pendyrus Male Choir	Cwm Rhondda
John Fowles		https://www.bbc.co.uk/programmes/p009mvj0	John Fowles	Dictionary of National Biography	Field glasses		Roy Plomley	1981-01-10	18:15	Enrique El Culata & Nino Ricardo	Bulerias	Robert Veyron‐Lacroix	Les Barricades Mysterieuses	Maria Ion	Pendem Devla Drabora	Antonio Vivaldi	Concerto in B minor	Billie Holiday	This Year's Kisses	Sarah Makem	As I Roved Out On A May Morning	Jimmy Yancey	At The Window	Johann Sebastian Bach	Trio Sonata No. 3 in G major
Robin Cousins		https://www.bbc.co.uk/programmes/p009mvjt	Robin Cousins	Shogun by James Clavell	Marzipan	Carmen Ballet by Bolshoi Theatre Orchestra	Roy Plomley	1981-01-03	18:15	Fats Waller and His Rhythm	Handful Of Keys	Barry Gray	Thunderbirds	Gladys Knight & the Pips	Help Me Make It Through The Night	Igor Stravinsky	The Firebird	Barbra Streisand	The World Is A Concerto	Elton John	Sorry Seems To Be The Hardest Word	Donna Summer	Rumour Has It	The Bolshoi	Carmen Ballet
Placido Domingo		https://www.bbc.co.uk/programmes/p009mvkl	Placido Domingo	Don Quixote by Miguel de Cervantes	Video player and cassettes of his own performances	Otello by Giuseppe Verdi	Roy Plomley	1980-12-27	18:15	Orchestra Of Camara De Madrid	La Revoltosa	Enrico Caruso	Rachel! Quand de Signeur le Grace Tutelaire	Giacomo Puccini	Manon Lescaut	Pablo (Pau) Casals	El Cant Dels Ocells	Giacomo Puccini	In questa Reggia (from Turandot)	Giuseppe Verdi	Otello	Ludwig van Beethoven	Piano Concerto No. 3 in C minor	Ludwig van Beethoven	Symphony No. 5 In C Minor
Arthur Askey		https://www.bbc.co.uk/programmes/p009mvl6	Arthur Askey	Guinness Book of Records	Piano	Romeo and Juliet Fantasy Overture by Pyotr Ilyich Tchaikovsky	Roy Plomley	1980-12-20	18:15	Peter Ilyich Tchaikovsky	Romeo and Juliet Fantasy Overture	Semprini	Rustle Of Spring	The Beatles	Yesterday	Jack Hylton & His Orchestra	Music, Maestro, Please	Stanley Holloway	Brahn Boots		Mixture Of Pop Music He Would Be Glad To Leave Behind	Edvard Grieg	Last Spring (from Two Elegiac Melodies, Op. 34)		There Is Nothin' Like A Dame
Neville Marriner		https://www.bbc.co.uk/programmes/p009mvlt	Neville Marriner	Life On Earth by David Attenborough	Violin	There Is No Rose by King's College Chapel Choir	Roy Plomley	1980-12-13	18:15	Felix Mendelssohn	Wht have I to do with thee? (from Elijah)	Edward Elgar	Violin Concerto in B Minor	Hector Berlioz	Romeo and Juliet	Selwyn College Chapel Choir	There Is No Rose	Maurice Ravel	Asie (from Shéhérazade)	Robert Schumann	Symphony No. 4 In D Minor	Arnold Schoenberg	Transfigured Night	William Walton	Violin Concerto in B minor
Jose Carreras		https://www.bbc.co.uk/programmes/p009mvmf	Jose Carreras	Poems by Rabindranath Tagore	Velazquez, Les Hilanderas	Your Tiny Hand is Frozen (Che gelida manina) (from La Boheme) by Giacomo Puccini	Roy Plomley	1980-12-06	18:15	Ruggero Leoncavallo	Vesti la giubba (from Pagliacci)	Gioachino Rossini	La danza (from Soirèes musicales)	Giacomo Puccini	Che gelida manina (Your tiny hand is frozen) (from La Bohème)	Giuseppe Verdi	Ingemisco (from Requiem Mass)	Wolfgang Amadeus Mozart	Dies Bildnis ist bezaubernd schön (from The Magic Flute)	Vincenzo Bellini	Col sorriso d'innocenza (from I Pirata)	Gustav Mahler	Symphony No. 6 in A minor	Giacomo Puccini	Non la sospiri (from Tosca)
Alan Minter		https://www.bbc.co.uk/programmes/p009mvn5	Alan Minter	Survival manual	Solar-powered transistor radio	My Way by Frank Sinatra	Roy Plomley	1980-11-29	18:15	Nat King Cole	Sweet Lorraine	Boney M	Brown Girl In The Ring	Billy Joel	Just The Way You Are	Iris Williams	He Was Beautiful	Andy Fairweather‐Low	Wide-Eyed and Legless	Frank Sinatra	My Way	Jigsaw	Prize Fighter	Edward Elgar	Pomp & Circumstance March No. 1 in D major 'Land of Hope and Glory'
Tom Conti		https://www.bbc.co.uk/programmes/p009mvp0	Tom Conti	Summerhill by A S Neill	Piano	Dies Irae by Giuseppe Verdi	Roy Plomley	1980-11-22	18:15	George Frideric Handel	Where'er you walk (from Semele)	Wolfgang Amadeus Mozart	Piano Concerto No. 23 in A major	Paco Aguilera & Antonio Gonzalez	Seguiriyas Y Bulerias	Cilla Black	Alfie	Johann Sebastian Bach	Partita for Keyboard No. 1 in B flat major	Giuseppe Verdi	Dies irae (from Requiem Mass)	Edward Elgar	Sea Pictures - Sea slumber-song	Beniamino Gigli	Caro Mio Ben
Jacquetta Hawkes		https://www.bbc.co.uk/programmes/p009mvpr	Jacquetta Hawkes	Collected works by Johann Wolfgang Goethe	Wine	Clarinet Concerto No. 1 in A Major by Wolfgang Amadeus Mozart	Roy Plomley	1980-11-15	18:15	Wolfgang Amadeus Mozart	Clarinet Concerto in A major	Ludwig van Beethoven	Violin Sonata No. 9 in A major, Op. 47 'Kreutzer'	Peter Sellers	Balham-Gateway To The South	Wolfgang Amadeus Mozart	String Quintet No. 4 in G minor	George Frideric Handel	Water Music	J B Priestley	Smoking In A Hot Bath	Frank Loesser	Fugue For Tin Horns (from Guys and Dolls)	Edward Elgar	Cello Concerto in E Minor
Mark Elder		https://www.bbc.co.uk/programmes/p009mvq9	Mark Elder	War and Peace by Leo Tolstoy	Sherry	I Used To Be Colour Blind by Fred Astaire	Roy Plomley	1980-11-08	18:15	Wolfgang Amadeus Mozart	Piano Concerto No. 17 in G major	The Clerkes of Oxenford	Almighty and Everlasting God	Giuseppe Verdi	Torno all'assalto (from Falstaff)	Antonín Dvořák	In Nature's Realm Overture	Fred Astaire	I Used To Be Colour Blind	Richard Strauss	Ein Heldenleben	Franz Schubert	String Quintet in C major		Wie Klug Wie Gut
Derek Tangye		https://www.bbc.co.uk/programmes/p009mvqx	Derek Tangye	A La Recherche Du Temps Perdu by Marcel Proust	Astronomical telescope	Symphony No. 2 in E Minor by Sergei Rachmaninov	Roy Plomley	1980-11-01	18:15	Giacomo Puccini	Io de' sospiri (Shepherd boy's song) (from Tosca)	Claude Debussy	Reflets dans l'eau (from Images)	Cyril Smith and Phylis Sellick	Galop	Carroll Gibbons and his String Quintet	Jeannie With The Light Brown Hair	Sergey Rachmaninov	Symphony No. 2 in E minor	Joseph Haydn	String Quartet in D major	Edvard Grieg	Holberg Suite	Lizbeth Webb	This Is My Lovely Day
Catherine Gaskin		https://www.bbc.co.uk/programmes/p009mvrj	Catherine Gaskin	The Story of Civilization by William Durant	Piano	String Quartet in C Sharp Minor by Ludwig van Beethoven	Roy Plomley	1980-10-25	18:15	Peter Ilyich Tchaikovsky	Symphony No. 6 in B minor 'Pathétique'		Scherzo in B flat minor, Op. 31	Wolfgang Amadeus Mozart	Sinfonia Concertante in E flat major	Johannes Brahms	Piano Concerto No. 1 in D minor	Johann Sebastian Bach	Orchestral Suite No. 2 in B minor	Aaron Copland	Lincoln Portrait	Franz Schubert	Symphony No. 9 in C major 'Great'	Ludwig van Beethoven	String Quartet No.14 in C sharp minor, Op. 131
Brian Glover		https://www.bbc.co.uk/programmes/p009mvs9	Brian Glover	Card Games by John Scarne	MGTD 2952 car	Like A Rolling Stone by Bob Dylan	Roy Plomley	1980-10-18	18:15	George Frideric Handel	Sarabande	Bob Dylan	Like A Rolling Stone	Maddy Prior & Steeleye Span	The Lark In The Morning	Édith Piaf	Non, Je Ne Regrette Rien	Sergey Prokofiev	Romeo and Juliet	Johann Sebastian Bach	Brandenburg Concerto No. 3 in G Major	Nat King Cole	Too Young	John Tams & Albion Band	Lay Me Low
Sir John Tooley		https://www.bbc.co.uk/programmes/p009mvsx	Sir John Tooley	The Oxford Book of English Verse	Sugared apricots	The Marriage Of Figaro (Act 2 Finale) by Wolfgang Amadeus Mozart	Roy Plomley	1980-10-11	18:15	Michael Tippett	Concerto for Double String Orchestra		Selig wie die Sonne (from Die Meistersinger von Nürnberg)	Franz Schubert	Octet in F major	Hector Berlioz	The Trojans	Giuseppe Verdi	Ella giammai m'amò (from Don Carlos)	Joseph Haydn	Symphony No. 88 in G major 'Letter V'	Robert Schumann	Mein schöner Stern! (from Minnespiel)	Wolfgang Amadeus Mozart	The Marriage Of Figaro Act 2 Finale
Ronald Lockley		https://www.bbc.co.uk/programmes/p009mvtj	Ronald Lockley	The Natural History of Selborne by Gilbert White	Telescope	Prelude A L'Apres Midi D'Un Faune by Claude Debussy	Roy Plomley	1980-10-04	18:15	Choir of St John’s College, Cambridge	The Twelve Days Of Christmas	Edvard Grieg	Solveig's Song (from Peer Gynt Suite No. 2)	Frédéric Chopin/Douglas	Mazurka	Claude Debussy	Prélude à l'après midi d'un faune	Johann Strauss II	The Blue Danube	Gabriel Fauré	Après un rêve, Op. 7/1	Harry Secombe	David Of The White Rock	Benjamin Britten	The foggy, foggy dew
Andrea Newman		https://www.bbc.co.uk/programmes/p009mvv5	Andrea Newman	The Weather in the Streets by Rosamund Lehmann	Champagne	Im Abendrot by Richard Strauss	Roy Plomley	1980-09-27	18:15	Charles‐Marie Widor	Organ Symphony No. 5 in F minor	Ralph Vaughan Williams	Symphony No. 6 in E minor	Giacomo Puccini	In Sistiamo		Liebestod (from Tristan und Isolde)	Frank Sinatra	Here's That Rainy Day	Barbra Streisand	What Are You Doing The Rest Of Your Life	Dylan Thomas	Fern Hill	Richard Strauss	Im Abendrot (from Four Last Songs)
Michael Powell & Emeric Pressburger		https://www.bbc.co.uk/programmes/p009mvw8	Michael Powell & Emeric Pressburger	Essays by Michel de Montaigne and Herzog by Saul Bellow	Brandy and a blank log book	Der Rosenkavalier by Richard Strauss	Roy Plomley	1980-09-20	18:15	Johann Sebastian Bach	Well-tempered Clavier, Book 1 - Prelude & Fugue in C major	Mike Nichols and Elaine May	Disc Jockey	Ludwig van Beethoven	Violin Sonata In A	Dylan Thomas	Do Not Go Gentle into that Good Night	Richard Strauss	Der Rosenkavalier	Modest Mussorgsky	On the Dnieper	Johann Sebastian Bach	Partita for Solo Violin No. 2 in D minor	Jacques Offenbach	Barcarolle (from Tales of Hoffman)
Antal Dorati		https://www.bbc.co.uk/programmes/p009mvwr	Antal Dorati	The Golden Man by Yokoi	Italian landscape drawing from his collection	Rondo Capriccioso by Felix Mendelssohn	Roy Plomley	1980-09-13	18:15	Felix Mendelssohn	Rondo capriccioso in E major	Joseph Haydn	The Seasons		Concerto For Orchestra	Ludwig van Beethoven	O, namen, Namenlose Freude! (from Fidelio)	Wolfgang Amadeus Mozart	String Quartet No. 21 in D major, K575	Johannes Brahms	Clarinet Quintet In B Minor	Franz Schubert	Täuschung (from Winterreise)	William Shakespeare	Now is the winter of our discontent (from Richard III)
Earl Of Snowdon		https://www.bbc.co.uk/programmes/p009mvxv	Earl Of Snowdon	A History of Architecture on the Comparative Method by Sir Banister Fletcher	Painting Materials	Swan Lake (Finale) by Pyotr Ilyich Tchaikovsky	Roy Plomley	1980-09-06	18:15	Roberto Inglez & his Orchestra	The Green Cockatoo	Noël Coward	London Pride	Al Bowlly	Night and Day	Marlene Dietrich	See What The Boys In The Back Room Will Have	Leonard Bernstein	West Side Story Prologue	Peter Ilyich Tchaikovsky	Swan Lake - Act 4 (finale)	Ludwig van Beethoven	Symphony No. 9 in D minor 'Choral'	The Fron Male Voice Choir	Land Of My Fathers
Renata Scotto		https://www.bbc.co.uk/programmes/p009mvym	Renata Scotto	Divine Comedy by Dante Alighieri	Silver shadow Rolls Royce	Sola, Perduta, Abbandonata by Giacomo Puccini	Roy Plomley	1980-08-30	18:15	Robert Schumann	Arabeske in C major	Aureliano Pertile	Amor ti vieta (from Fedora)		Nocturne In E Flat Major		Liebestod (from Tristan und Isolde)	The Beatles	Yesterday	Giacomo Puccini	Sola, perduta, abbandonata (from Manon Lescaut)	Robert Schumann	Träumerei (from Scenes from Childhood)	Renata Scotto	Poveri Fiori
Tristan Jones		https://www.bbc.co.uk/programmes/p009mvz0	Tristan Jones	Modern wooden yacht construction	12 foot by 8 foot Union Jack	1812 Overture by Pyotr Ilyich Tchaikovsky	Roy Plomley	1980-08-23	18:15	Arthur Sullivan	A wandering ministrel I (from The Mikado)	The Beatles	Hello, Goodbye	Modest Mussorgsky	Night On The Bare Mountain	Dionne Warwick	Love Will Keep Us Together	Peter Ilyich Tchaikovsky	1812 Overture	Ella Fitzgerald	Lullaby Of Broadway	George Frideric Handel	Hallelujah Chorus (from Messiah)	Band of HM Royal Marines	Hearts Of Oak
Stephen Sondheim		https://www.bbc.co.uk/programmes/p009mvzn	Stephen Sondheim	Collected works by E B White	Piano	Porgy and Bess by Lawrence Winters and Others	Roy Plomley	1980-08-16	18:15	Maurice Ravel	Valses nobles et sentimentales		Concerto For Orchestra	Lawrence Winters and Others	Porgy and Bess	Johannes Brahms	Piano Concerto No. 2 in B flat major	Isao Sato & Sab Shimono	Poems	Maurice Ravel	Piano Concerto for Left-Hand in D minor	Igor Stravinsky	Symphony Of Psalms	Len Cariou	The Ballad Of Sweeney Todd
William Trevor		https://www.bbc.co.uk/programmes/p009mw07	William Trevor	Lives of the Saints by Alban Butler	Grapevines	Clarinet Quintet In B Minor by Johannes Brahms	Roy Plomley	1980-08-09	18:15	Franz Schubert	String Quartet in C major	Henry Purcell	Sound the trumpet (from Birthday Ode 'Come ye sons of art away')	Johann Sebastian Bach	Concerto For Two Harpsichords in C minor	Wolfgang Amadeus Mozart	Piano Concerto No. 24 in C minor		The Mouse Problem	Franz Schubert	Impromptu in B flat major, D935 No. 3	Johannes Brahms	Clarinet Quintet In B Minor	King's College Chapel Choir	Ave Verum Corpus
Gregory Peck		https://www.bbc.co.uk/programmes/p009mw0w	Gregory Peck	Abraham Lincoln by Carl Sandburg	Cases of Chateau Lafite-Rothschild	Symphony No. 7 In A Major by Ludwig van Beethoven	Roy Plomley	1980-08-02	18:15	Ludwig van Beethoven	Symphony No. 7 In A Major	Giuseppe Verdi	La traviata Prelude to Act 1	Duke Ellington and His Orchestra	Satin Doll	Wolfgang Amadeus Mozart	Symphony No. 40 In G Minor	Giacomo Puccini	Che gelida manina (Your tiny hand is frozen) (from La Bohème)	Ludwig van Beethoven	Violin Concerto in D Major		Fantaisie-Impromptu in C sharp minor, Op. 66	Frank Sinatra	New York, New York
David Scott Blackhall		https://www.bbc.co.uk/programmes/p009mw1h	David Scott Blackhall	The Oxford Book of English Verse	Perkins Brailler and paper	Our Love Is Here To Stay by George Gershwin	Roy Plomley	1980-07-26	18:15	Édith Piaf	Non, Je Ne Regrette Rien	Layton & Johnstone	Home		The Whiffenpoof Song	George Gershwin	Love Is here to stay (from Goldwyn Follies)	Mario De Pietro	Lollipops	Miriam Makeba	The Click Song		Nocturne In E Flat Major	Charles Gounod	Ave Maria
Daley Thompson		https://www.bbc.co.uk/programmes/p009mw23	Daley Thompson	Novels by John Wyndham	Guitar and instruction book	Unchained Melody by George Benson	Roy Plomley	1980-07-19	18:15	Marvin Gaye	Abraham, Martin and John	James Taylor	You've Got A Friend	Heatwave	Sho 'nuff Must Be Love	Clifford Smith	Together	Al Green	For The Good Times	Rod Stewart	The Best Days Of My Life		Unchained Melody	Commodores	Three Times A Lady
Tom Lehrer		https://www.bbc.co.uk/programmes/p009mw2k	Tom Lehrer	The Oxford English Dictionary	Piano	Der Rosenkavalier Waltzes by Richard Strauss	Roy Plomley	1980-07-12	18:15	Arthur Sullivan	Loudly let the trumpets bray (Entry of the Peers) (from Iolanthe)	Noël Coward	Nina (from Sigh No More)	Robert Alda	Luck Be A Lady	Barbara Cook	Vanilla Ice Cream	William Ovis	Bon Voyage	Randy Newman	Sail Away	Glynis Johns	Send In The Clowns	Richard Strauss	Der Rosenkavalier (Waltzes)
V S Naipaul		https://www.bbc.co.uk/programmes/p009mw36	V S Naipaul	Teach yourself mathematics	The Enlightened Buddha	Piano Sonata No. 32 in C Minor by Ludwig van Beethoven	Roy Plomley	1980-07-05	18:15	Bismillah Khan	Poorbi-Dhun	Peter Ilyich Tchaikovsky	Serenade for Strings in C major	Dinah Shore	Smoke Gets In Your Eyes	Lale Andersen	Lilli Marlene	Johann Sebastian Bach	Brandenburg Concerto No. 5 In D Major	Gustav Mahler	Symphony No. 4 in G major	Ludwig van Beethoven	Piano Sonata No. 32 in C minor, Op. 111	Ustad Ali Akbar Khan & Shankar Gohosh	Des Malhar
Barbara Woodhouse		https://www.bbc.co.uk/programmes/p009mw3q	Barbara Woodhouse	Talking To Animals by Barbara Woodhouse	Mother's ormolu clock	Skye Boat Song by Adrian Brett	Roy Plomley	1980-06-28	18:15	Albert Ketèlbey	In A Monastery Garden	Mantovani	Charmaine	The Victor Silvester Orchestra	Whispering		Will You Remember	Acker Bilk	Stranger On The Shore	Turner Layton	My Blue Heavenn	Adrian Brett	Skye Boat Song		Sweet Talking Rag
General Sir John Hackett		https://www.bbc.co.uk/programmes/p009mw4j	General Sir John Hackett	1001 Gems of English Poetry	Six dozen bottles of Chateau La Tour 1962	String Quartet No. 13 in B Flat Major by Ludwig van Beethoven	Roy Plomley	1980-06-21	18:15	Wolfgang Amadeus Mozart	Non so più cosa son (from The Marriage of Figaro)	Sophie Tucker	Some Of These Days	Johannes Brahms	Violin Concerto in D Major	Layton & Johnstone	The Birth Of The Blues	Ludwig van Beethoven	String Quartet No. 13 in B flat major, Op. 130	Robert Schumann	Im wunderschönen Monat Mai (from Dichterliebe)	Franz Schubert	Piano Quintet in A major 'Trout'		Brünnhilde's Immolation (from Götterdämmerung)
